County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
Okanogan2011,9.8,11.0,8.5,15.7,23.0,8.7,11.4,4.6,*,,
Pacific2011,12.1,18.4,*,33.5,14.5,21.0,*,*,*,,
Pend Oreille2011,12.7,16.1,*,*,41.2,*,*,*,*,,
Pierce2011,18.7,16.1,9.0,26.8,38.7,27.3,15.9,9.1,3.8,,
San Juan2011,8.8,*,*,*,32.7,*,*,*,*,,
Skagit2011,11.5,12.9,7.5,22.1,29.2,15.1,8.6,2.4,*,,
Skamania2011,3.3,*,*,*,*,*,*,*,*,,
Snohomish2011,14.1,12.1,7.7,19.6,29.6,19.5,14.2,8.3,3.4,,
Spokane2011,11.3,11.3,6.2,17.1,20.2,15.8,9.2,5.3,1.9,,
Stevens2011,8.4,7.5,4.9,13.5,21.6,14.0,9.3,*,*,,
Thurston2011,15.1,13.1,7.7,21.3,31.0,23.4,11.8,7.9,2.9,,
Wahkiakum2011,*,*,*,*,*,*,*,*,*,,
Walla Walla2011,8.8,10.5,8.2,12.6,11.9,14.9,8.1,4.7,*,,
Whatcom2011,11.6,9.9,7.2,12.1,18.1,15.7,11.8,6.2,2.4,,
Whitman2011,6.1,3.5,*,4.3,7.8,5.9,8.9,*,*,,
Yakima2011,14.6,17.3,9.7,29.8,29.4,16.0,10.6,8.5,2.2,,
State Total2010,15.5,14.8,8.9,23.4,30.5,21.8,13.5,8.6,3.2,,
Adams2010,7.1,N,N,N,15.1,N,9.5,N,N,,
Asotin2010,14.2,14.7,12.4,18.0,31.3,14.8,10.3,N,N,,
Benton2010,12.2,15.0,9.5,24.5,24.5,15.0,9.8,6.0,2.3,,
Chelan2010,9.2,8.3,5.0,13.9,17.8,9.6,10.8,6.3,2.3,,
Clallam2010,12.2,18.0,8.1,33.5,18.2,16.1,11.2,9.2,N,,
Clark2010,13.9,13.6,7.8,24.0,28.2,21.1,12.8,7.9,2.6,,
Columbia2010,N,N,N,N,N,N,N,N,N,,
Cowlitz2010,10.5,9.4,6.0,14.9,26.5,17.1,7.0,2.6,N,,
Douglas2010,8.7,11.5,6.4,22.4,15.2,14.8,N,5.9,N,,
Ferry2010,12.8,N,N,N,N,N,N,N,N,,
Franklin2010,13.9,18.7,11.9,29.7,28.6,13.0,12.0,5.7,2.3,,
Garfield2010,N,N,N,N,N,N,N,N,N,,
Grant2010,9.8,10.3,7.8,14.2,21.0,13.1,8.5,3.7,N,,
Grays Harbor2010,14.0,12.3,8.7,18.0,23.1,29.3,10.5,7.3,N,,
Island2010,13.0,13.0,9.5,19.8,29.7,16.9,9.3,6.4,N,,
Jefferson2010,18.5,13.7,N,26.3,43.2,33.3,15.2,8.3,7.0,,
King2010,18.0,16.8,10.0,26.5,34.5,24.7,16.5,11.3,4.3,,
Kitsap2010,14.1,13.8,6.3,26.2,30.4,20.6,10.0,6.7,2.4,,
Kittitas2010,11.9,13.3,8.6,15.3,14.8,13.8,11.0,8.0,N,,
Klickitat2010,6.4,N,N,N,25.1,N,N,N,N,,
Lewis2010,15.1,20.0,13.6,30.3,27.0,21.4,11.5,6.7,N,,
Lincoln2010,4.1,N,N,N,N,N,N,N,N,,
Mason2010,17.7,20.9,15.1,30.3,37.9,25.2,11.6,8.2,3.6,,
Okanogan2010,9.5,12.3,9.4,17.7,20.8,9.5,7.7,6.2,N,,
Pacific2010,13.3,21.8,N,38.3,26.3,16.0,N,N,N,,
Pend Oreille2010,10.9,N,N,N,24.5,19.2,N,N,N,,
Pierce2010,19.7,19.4,11.0,32.3,40.9,28.5,15.0,9.2,3.4,,
San Juan2010,5.3,N,N,N,N,N,N,N,N,,
Skagit2010,14.4,15.2,8.5,26.8,31.0,17.5,14.1,5.3,1.8,,
Skamania2010,5.4,N,N,N,N,N,N,N,N,,
Snohomish2010,14.9,14.1,7.5,25.6,32.4,20.8,13.8,7.8,3.5,,
Spokane2010,11.8,10.9,6.7,15.7,21.5,15.6,9.8,6.4,2.3,,
Stevens2010,6.9,6.6,4.7,11.1,22.7,8.0,6.6,N,N,,
Thurston2010,16.3,14.6,8.2,24.5,35.4,22.4,13.7,8.8,3.0,,
Wahkiakum2010,N,N,N,N,N,N,N,N,N,,
Walla Walla2010,9.5,8.7,6.2,10.9,11.0,20.8,8.9,5.2,N,,
Whatcom2010,12.5,11.8,10.3,13.2,20.7,14.7,10.2,8.3,3.2,,
Whitman2010,9.0,5.1,N,5.4,13.2,12.2,8.2,N,N,,
Yakima2010,15.8,15.1,10.2,23.4,35.5,21.4,10.2,7.8,1.3,,
State Total2009,16.7,16.8,10.2,26.3,32.1,22.7,14.6,8.8,3.3,,
Adams2009,10.5,10.8,N,18.6,19.4,12.7,11.8,N,N,,
Asotin2009,11.1,10.0,N,17.5,25.2,14.7,8.9,N,N,,
Benton2009,12.4,13.4,5.0,27.9,26.9,15.9,9.3,4.2,2.3,,
Chelan2009,9.5,10.5,4.9,20.0,18.6,11.9,7.2,5.7,2.8,,
Clallam2009,13.9,19.6,13.9,28.7,24.9,14.3,15.6,5.4,2.7,,
Clark2009,14.5,15.3,8.4,27.5,29.7,21.7,12.2,7.2,2.3,,
Columbia2009,8.7,N,N,N,N,N,N,N,N,,
Cowlitz2009,12.7,14.1,7.3,25.0,29.7,17.1,6.6,7.7,N,,
Douglas2009,10.4,12.1,8.5,19.7,17.5,17.3,10.6,4.2,N,,
Ferry2009,15.2,26.1,N,64.1,N,36.6,N,N,N,,
Franklin2009,12.0,15.4,8.3,26.7,23.1,15.1,6.0,5.2,2.4,,
Garfield2009,N,N,N,N,N,N,N,N,N,,
Grant2009,9.3,10.3,6.3,16.5,19.6,12.0,6.8,3.4,N,,
Grays Harbor2009,16.5,15.4,12.0,20.9,31.1,21.8,16.4,13.2,N,,
Island2009,14.0,17.1,7.3,35.7,28.8,20.0,9.0,5.7,N,,
Jefferson2009,11.7,11.7,N,33.8,23.5,11.6,13.9,N,6.6,,
King2009,19.4,19.3,11.6,30.1,36.8,26.1,18.0,11.2,4.5,,
Kitsap2009,15.7,15.9,8.1,28.6,29.9,23.4,13.5,7.1,3.2,,
Kittitas2009,11.5,13.8,13.6,13.9,13.8,11.3,11.6,6.9,N,,
Klickitat2009,8.8,N,N,N,21.6,20.3,9.9,N,N,,
Lewis2009,14.0,17.5,11.9,26.3,25.3,19.3,10.5,8.9,2.3,,
Lincoln2009,6.7,N,N,N,32.6,N,N,N,N,,
Mason2009,14.6,16.5,12.9,22.5,35.8,21.4,6.5,4.4,4.2,,
Okanogan2009,12.0,11.9,6.9,21.5,23.0,19.6,11.0,5.2,N,,
Pacific2009,12.3,13.4,N,N,34.8,N,N,N,N,,
Pend Oreille2009,8.0,N,N,N,19.9,19.1,N,N,N,,
Pierce2009,21.2,22.4,13.0,36.6,43.6,27.5,18.4,9.9,3.5,,
San Juan2009,14.8,15.9,N,N,35.2,25.1,N,N,N,,
Skagit2009,15.3,15.4,8.8,26.8,34.1,19.8,11.9,7.5,2.9,,
Skamania2009,7.5,N,N,N,N,N,N,N,N,,
Snohomish2009,16.9,15.5,9.5,25.8,36.5,23.5,15.6,9.2,3.4,,
Spokane2009,12.8,13.2,9.0,18.1,22.4,16.6,10.1,7.1,2.2,,
Stevens2009,8.0,9.0,5.5,17.3,28.8,6.7,4.9,5.2,N,,
Thurston2009,17.7,21.4,10.9,37.3,37.9,22.2,13.5,7.5,2.4,,
Wahkiakum2009,10.3,N,N,N,N,N,N,N,N,,
Walla Walla2009,10.7,7.8,6.1,9.2,16.8,18.3,12.6,3.9,3.6,,
Whatcom2009,12.2,12.4,11.3,13.4,18.7,16.5,10.6,6.8,2.1,,
